latitude,longitude,X,Y
40.83139,-73.94095,-8231068.902770901,4959559.527519501
40.72828,-73.98801,-8236307.598007634,4944459.693314588
40.76865,-73.95058,-8232140.909467242,4950368.822044306
40.74138,-74.00197,-8237861.618099107,4946376.799921921
40.82915,-73.95136,-8232227.7386700595,4959231.241909679
40.71851,-73.98892,-8236408.898744254,4943030.1598514775
40.7114,-73.98794,-8236299.805643277,4941989.966978102
40.72334,-73.9844,-8235905.734645869,4943736.852626729
40.72912,-73.98057,-8235479.380996131,4944582.610875226
40.79764,-73.96177,-8233386.574569218,4954614.443616716
40.82803,-73.94731,-8231776.894732347,4959067.10329542
40.74008,-74.00271,-8237943.994522293,4946186.535698484
40.82279,-73.95139,-8232231.0782547835,4958299.206170938
40.83927,-73.94281,-8231275.957023776,4960714.478217324
40.73096,-74.00319,-8237997.427877876,4944851.864328979
40.8092,-73.94421,-8231431.804310887,4956307.941016331
40.75527,-73.99291,-8236853.063512519,4948409.933936943
40.7288,-73.98192,-8235629.662308701,4944535.784953474
40.7254,-73.98157,-8235590.7004869245,4944038.2735477295
40.74294,-73.98009,-8235425.94764055,4946605.121936503
40.77823,-73.97637,-8235011.839134799,4951771.6183945285
40.72555,-73.97965,-8235376.967064601,4944060.222040261
40.82754,-73.94919,-8231986.175375039,4958995.293530135
40.77842,-73.97556,-8234921.670347257,4951799.44209555
40.72245,-73.98527,-8236002.5826028595,4943606.62999142
40.778,-73.94822,-8231878.195468969,4951737.937179534
40.85879,-73.93128,-8229992.443294931,4963576.068847331
40.81618,-73.94894,-8231958.345502339,4957330.629244293
40.72392,-73.99143,-8236688.310666145,4943821.717760422
40.71341,-73.98856,-8236368.8237275705,4942284.018592715
40.76754,-73.98399,-8235860.093654645,4950206.29827291
40.73442,-74.00303,-8237979.616759348,4945358.198209421
40.72354,-73.98295,-8235744.3213842185,4943766.1163817495
40.73474,-74.00101,-8237754.751387945,4945405.028116902
40.79295,-73.93997,-8230959.809669924,4953927.460643277
40.73226,-74.00401,-8238088.709860324,4945042.102270566
40.77711,-73.9527,-8232376.906787721,4951607.606628654
40.77456,-73.95323,-8232435.906117843,4951234.1973769935
40.76123,-73.9642,-8233657.080931846,4949282.453850525
40.82704,-73.94907,-8231972.8170361435,4958922.018810606
40.72518,-73.98034,-8235453.777513248,4944006.082515523
40.70666,-74.01374,-8239171.848505743,4941296.567244074
40.73756,-74.00405,-8238093.162639958,4945817.726490763
40.81526,-73.94791,-8231843.686426822,4957195.827457748
40.73423,-74.0046,-8238154.388359893,4945330.393059245
40.82374,-73.9373,-8230662.586629505,4958438.419623704
40.80549,-73.95924,-8233104.9362575095,4955764.407298075
40.76834,-73.95334,-8232448.151261829,4950323.432247246
40.74031,-73.99999,-8237641.205507336,4946220.197557489
40.76307,-73.99665,-8237269.398408087,4949551.838340821
40.71882,-73.98852,-8236364.370947937,4943075.515392896
40.77333,-73.95199,-8232297.869949259,4951054.087489544
40.72319,-73.99201,-8236752.875970806,4943714.904868617
40.74859,-73.99671,-8237276.077577534,4947432.102607906
40.76244,-73.99271,-8236830.7996143615,4949459.602587794
40.76548,-73.98474,-8235943.583272739,4949904.684829276
40.80234,-73.95603,-8232747.600692064,4955302.940439913
40.81035,-73.94598,-8231628.839809593,4956476.428035709
40.79958,-73.94275,-8231269.277854329,4954898.625713432
40.72773,-73.99134,-8236678.291911974,4944379.212425482
