X,Y
-8233657.080931846,4949282.453850525
-8231972.817036143,4958922.018810606
-8235453.777513248,4944006.082515523
-8239171.848505743,4941296.567244074
-8238093.162639958,4945817.726490763
-8231843.686426822,4957195.827457748
-8238154.388359893,4945330.393059245
-8230662.586629505,4958438.419623704
-8233104.936257509,4955764.407298075
-8232448.151261829,4950323.432247246
-8237641.205507336,4946220.197557489
-8237269.398408087,4949551.838340821
-8236364.370947937,4943075.515392896
-8232297.869949259,4951054.087489544
-8236752.875970806,4943714.904868617
-8237276.077577534,4947432.102607906
-8236830.7996143615,4949459.602587794
-8235943.583272739,4949904.684829276
-8232747.600692064,4955302.940439913
-8231628.839809593,4956476.428035709
-8231269.277854329,4954898.625713432
-8236678.291911974,4944379.212425482
-8238187.784207133,4944507.982169799
-8235896.829086605,4944348.483535554
-8231518.633513707,4956746.013387395
-8236196.278516839,4944449.450255114
-8235981.431899609,4950156.516764106
-8236588.123124433,4944728.943343253
-8235970.299950529,4946218.733995963
-8231344.975108069,4956324.057038746
-8231282.636193225,4958637.718169325
-8232087.476111661,4949384.936194892
-8236071.600687151,4943324.243113833
-8237089.060833002,4942891.168388792
-8234292.715224275,4948941.341881809
-8237933.975768122,4943252.550349417
-8237056.778180671,4944995.274122051
-8231601.009936893,4953734.118177232
-8231446.275844691,4956688.872384777
-8231750.178054556,4957279.345733927
-8235470.475436868,4944205.083341241
-8233268.575908978,4954990.913452315
-8230891.90478054,4956340.173088079
-8237130.249044596,4943191.099831767
-8237672.374964759,4946698.79406769
-8232911.240343529,4955450.900425566
-8236618.179386945,4942436.16821347
-8234188.074902929,4948734.923752425
-8236617.066192039,4944243.128083359
-8235595.153266557,4943946.090423451
-8237160.30530711,4946523.159566799
-8235689.774833731,4943518.840440974
-8229438.07223078,4964703.639858619
-8236077.166661691,4944428.964168733
-8237431.924864644,4942812.16360624
-8235590.7004869245,4943717.831233486
-8235525.021987356,4951966.3859858
-8235591.813681831,4944646.996888142
-8231304.900091384,4959191.672523898
-8236010.374967215,4944244.591345664
-8236965.496198222,4943107.70332561
-8232416.981804407,4956896.925867793
-8231968.3642565105,4954378.608128123
-8233009.201495429,4955535.868571633
-8233768.400422637,4955080.272262787
-8231928.289239827,4959320.640008654
-8234625.560501746,4953452.899686237
-8237227.097001585,4943164.764015239
-8235693.1144184545,4952030.821241973
-8229639.560509115,4964798.954248843
-8236396.653600268,4945001.127628204
-8235400.344157667,4944041.20001052
-8230817.320721707,4960079.824480519
-8236467.898074375,4942749.252852365
-8237912.825064872,4944661.630132729
-8235213.327413134,4951632.501092314
-8230946.45133103,4956266.918535307
-8232822.184750895,4955364.468079161
-8235854.5276801055,4943066.736884398
-8236673.839132342,4949465.458799888
-8235956.941611634,4943729.53670182
-8235832.263781945,4943831.960154543
-8235520.569207725,4943908.046850718
-8236412.238328978,4944481.642764316
-8237392.963042867,4942181.6115426
-8236268.636185857,4943196.952245187
-8235089.762778354,4945994.811694491
-8237134.701824226,4947481.87007498
-8231076.695135256,4954090.047078787
-8230251.817708479,4962719.848165486
-8234258.206182129,4952848.014762691
-8236245.259092788,4944092.413252816
-8232333.492186312,4959023.138069532
-8236047.110399177,4951948.812808761
-8236391.087625727,4946911.023350145
-8232286.738000181,4955751.222224404
-8232165.399755215,4952749.889305118
-8236743.970411543,4948860.823646922
-8237012.250384354,4943094.535521997
-8233967.662311158,4948486.056696716
-8232441.472092384,4958475.055076827
-8231068.902770901,4957629.544273495
-8237873.863243095,4946777.830634899
-8236197.391711747,4944809.427145265
-8231847.026011546,4955664.787187675
-8236688.310666145,4944028.03093494
-8236369.936922477,4944622.120423204
-8233865.248379628,4954840.030781774
-8231467.426547942,4956913.04287416
-8238668.684407358,4945026.005068916
-8235333.552463192,4947096.910759043
-8237753.638193037,4946889.068380564
-8234949.500219955,4943649.061893342
-8236914.289232455,4943621.261660693
-8237315.039399313,4943385.694478047
-8235207.761438594,4943957.796168271
-8232432.5665331185,4955653.067242308
-8235882.357552802,4943565.661435303
-8238008.559826955,4946539.259263107
-8234630.013281378,4953882.054110055
-8231729.027351305,4955654.532234701
-8237839.354200947,4944464.083200546
-8233462.271822958,4954615.908451425
-8232445.924872015,4952774.786714833
-8235865.659629183,4943259.865913257
